	raw	no.adapt	filtered	derepF	derepR	denoisedF	denoisedR	merged	no.chim
SH-WD5_S196	27104	26899	8956	8956	8956	8956	8956	8910	8910
SK-L1_S169	108911	108250	37230	37230	37230	37230	37230	36774	36762
SK-L2_S177	183412	182068	65218	65218	65218	65218	65218	63885	63721
SK-L3_S185	57869	57320	25264	25264	25264	25264	25264	25144	25144
SK-L4_S193	120673	119866	52080	52080	52080	52080	52080	51411	51012
SK-L5_S106	50563	50177	19853	19853	19853	19853	19853	19518	19364
SK-S1_S144	199366	197795	81722	81722	81722	81722	81722	80374	79650
SK-S2_S152	286203	283552	110452	110452	110452	110452	110452	109037	108441
SK-S3_S160	189369	187762	77894	77894	77894	77894	77894	76463	75863
SK-S4_S168	150091	148979	60949	60949	60949	60949	60949	59891	59800
SK-S5_S176	208443	206723	81081	81081	81081	81081	81081	79137	78887
SK-W1_S194	57439	57002	25387	25387	25387	25387	25387	25004	24914
SK-W2_S107	76146	75541	29367	29367	29367	29367	29367	29058	29018
SK-W3_S115	33312	33042	14436	14436	14436	14436	14436	14284	14261
SK-W4_S123	187451	186379	83805	83805	83805	83805	83805	83374	83168
SK-W5_S131	113620	112926	51013	51013	51013	51013	51013	50586	50435
SK-WD1_S124	24058	23851	9650	9650	9650	9650	9650	9522	9522
SK-WD2_S132	18950	18803	8409	8409	8409	8409	8409	8326	8199
SK-WD3_S140	14005	13864	6152	6152	6152	6152	6152	5936	5936
SK-WD4_S148	17335	17170	7079	7079	7079	7079	7079	7043	7043
SK-WD5_S156	23407	23146	9085	9085	9085	9085	9085	8822	8822
TKP-L1_S129	124872	123968	60862	60862	60862	60862	60862	59945	59945
TKP-L2_S137	86057	85456	32516	32516	32516	32516	32516	32112	32084
TKP-L3_S145	93917	93239	35806	35806	35806	35806	35806	34984	34984
TKP-L4_S153	30957	30562	11942	11942	11942	11942	11942	11798	11798
TKP-L5_S161	88065	87376	38602	38602	38602	38602	38602	38128	38128
TKP-S1_S104	91097	90263	35271	35271	35271	35271	35271	34773	34757
TKP-S2_S112	117838	116839	48379	48379	48379	48379	48379	47806	47806
TKP-S3_S120	199931	198365	81067	81067	81067	81067	81067	80059	79898
TKP-S4_S128	168707	167318	73299	73299	73299	73299	73299	72046	71850
TKP-S5_S136	161824	160735	75948	75948	75948	75948	75948	74459	74266
TKP-W1_S154	88930	87873	22164	22164	22164	22164	22164	21970	21970
TKP-W2_S162	15825	15562	5664	5664	5664	5664	5664	5608	5608
TKP-W3_S170	28480	28246	10604	10604	10604	10604	10604	10475	10475
TKP-W4_S178	181394	180061	65839	65839	65839	65839	65839	64356	64307
TKP-W5_S186	72194	71541	30259	30259	30259	30259	30259	29657	29657
TKP-WD1_S179	96388	95596	37003	37003	37003	37003	37003	35845	35845
TKP-WD2_S187	79218	78356	25296	25296	25296	25296	25296	24425	24393
TKP-WD3_S195	174462	173172	66578	66578	66578	66578	66578	63457	63366
TKP-WD4_S108	114841	113896	45767	45767	45767	45767	45767	44992	44902
TKP-WD5_S116	92267	91549	36354	36354	36354	36354	36354	35472	35472
