	raw	no.adapt	filtered	derepF	derepR	denoisedF	denoisedR	merged	no.chim
HG51_S73	32608	32210	24492	24492	24492	24492	24492	14640	14377
HG8_S71	86165	85389	67228	67228	67228	67228	67228	65731	65073
MG44_S75	28188	27908	21107	21107	21107	21107	21107	14357	14236
MG47_S76	16792	13077	9616	9616	9616	9616	9616	9487	9390
MG6_S74	30179	29550	22125	22125	22125	22125	22125	19566	19452
SHS1_S77	36798	35237	22775	22775	22775	22775	22775	21987	21842
SHW1_S44	27106	10851	7055	7055	7055	7055	7055	4480	4472
SHW1-2_S91	61023	60081	45983	45983	45983	45983	45983	18799	17656
SHW2_S45	53109	37075	27608	27608	27608	27608	27608	18835	18384
SHW2-2_S92	71256	70024	53963	53963	53963	53963	53963	21583	20329
SHW3_S46	44010	38301	30136	30136	30136	30136	30136	19765	17819
SHW3-2_S93	42649	42035	32671	32671	32671	32671	32671	26068	25767
SHW4_S47	41925	30491	21094	21094	21094	21094	21094	13032	12716
SHW4-2_S94	278	242	27	27	27	27	27	0	0
SHW5_S48	29692	22842	17227	17227	17227	17227	17227	13154	11904
SHW5-2_S95	33129	29538	22129	22129	22129	22129	22129	21149	20924
SHWD1_S59	34629	34059	26951	26951	26951	26951	26951	25089	25010
SHWD2_S60	46240	45465	35370	35370	35370	35370	35370	33204	33093
SHWD3_S61	87451	86285	66765	66765	66765	66765	66765	63809	63615
SHWD4_S62	27478	26889	21147	21147	21147	21147	21147	19195	19174
SHWD5_S63	36115	35372	27764	27764	27764	27764	27764	26779	26701
SKW1_S39	53925	46689	33950	33950	33950	33950	33950	29017	28453
SKW1-2_S86	52978	52184	38649	38649	38649	38649	38649	36451	34587
SKW2_S40	51007	38174	25456	25456	25456	25456	25456	16651	16396
SKW2-2_S87	33731	32625	26359	26359	26359	26359	26359	26186	25727
SKW3_S41	21603	5905	3032	3032	3032	3032	3032	1984	1984
SKW3-2_S88	29915	29511	24084	24084	24084	24084	24084	23914	23901
SKW4_S42	67472	64419	48953	48953	48953	48953	48953	37636	27696
SKW4-2_S89	609432	598108	455151	455151	455151	455151	455151	224453	190263
SKW5_S43	59886	55790	39716	39716	39716	39716	39716	29816	22074
SKW5-2_S90	21198	20315	16042	16042	16042	16042	16042	13015	9540
SKWD1_S54	204140	202168	156518	156518	156518	156518	156518	91430	85956
SKWD2_S55	218453	216432	169900	169900	169900	169900	169900	111446	106913
SKWD3_S56	104121	103180	81264	81264	81264	81264	81264	44839	42697
SKWD4_S57	513014	507860	391462	391462	391462	391462	391462	252024	234472
SKWD5_S58	49239	48816	38128	38128	38128	38128	38128	20694	19911
TKPL1_S78	49116	43108	6162	6162	6162	6162	6162	5770	5677
TKPS2_S79	86685	77074	13654	13654	13654	13654	13654	13270	13109
